NN CREATED N.1
NEURONS = 2 		 ACCURACY_1 = 0.887070 	 ACCURACY_2 = 0.704415 	 ACCURACY_3 = 0.904306 	 ACCURACY_OVERALL = 0.846037
NEURONS = 3 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.700576 	 ACCURACY_3 = 0.909091 	 ACCURACY_OVERALL = 0.846037
NEURONS = 4 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.631478 	 ACCURACY_3 = 0.917464 	 ACCURACY_OVERALL = 0.837398
NEURONS = 5 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.685221 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.851118
NEURONS = 6 		 ACCURACY_1 = 0.908347 	 ACCURACY_2 = 0.671785 	 ACCURACY_3 = 0.905502 	 ACCURACY_OVERALL = 0.844512
NEURONS = 7 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.907895 	 ACCURACY_OVERALL = 0.854675
NEURONS = 8 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.694818 	 ACCURACY_3 = 0.909091 	 ACCURACY_OVERALL = 0.842480
NEURONS = 9 		 ACCURACY_1 = 0.901964 	 ACCURACY_2 = 0.693666 	 ACCURACY_3 = 0.912560 	 ACCURACY_OVERALL = 0.851321
NEURONS = 10 		 ACCURACY_1 = 0.891817 	 ACCURACY_2 = 0.698273 	 ACCURACY_3 = 0.931100 	 ACCURACY_OVERALL = 0.857266
NEURONS = 11 		 ACCURACY_1 = 0.895745 	 ACCURACY_2 = 0.692898 	 ACCURACY_3 = 0.923325 	 ACCURACY_OVERALL = 0.853760
NEURONS = 12 		 ACCURACY_1 = 0.885434 	 ACCURACY_2 = 0.710173 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.852134
NEURONS = 13 		 ACCURACY_1 = 0.885434 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.855183
NEURONS = 14 		 ACCURACY_1 = 0.906710 	 ACCURACY_2 = 0.702495 	 ACCURACY_3 = 0.919856 	 ACCURACY_OVERALL = 0.858232
NEURONS = 15 		 ACCURACY_1 = 0.906710 	 ACCURACY_2 = 0.687908 	 ACCURACY_3 = 0.923206 	 ACCURACY_OVERALL = 0.855793
NEURONS = 16 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.690979 	 ACCURACY_3 = 0.915072 	 ACCURACY_OVERALL = 0.848577
NEURONS = 17 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.731286 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.861280
NEURONS = 18 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.918660 	 ACCURACY_OVERALL = 0.855691
NEURONS = 19 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.694818 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.850102
NEURONS = 20 		 ACCURACY_1 = 0.900164 	 ACCURACY_2 = 0.662188 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.846037
NEURONS = 21 		 ACCURACY_1 = 0.908347 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.860264
NEURONS = 22 		 ACCURACY_1 = 0.901800 	 ACCURACY_2 = 0.731286 	 ACCURACY_3 = 0.931818 	 ACCURACY_OVERALL = 0.869411
NEURONS = 23 		 ACCURACY_1 = 0.886416 	 ACCURACY_2 = 0.692322 	 ACCURACY_3 = 0.909569 	 ACCURACY_OVERALL = 0.844868
NEURONS = 24 		 ACCURACY_1 = 0.896890 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.860772
NEURONS = 25 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.712092 	 ACCURACY_3 = 0.923445 	 ACCURACY_OVERALL = 0.854167
NEURONS = 26 		 ACCURACY_1 = 0.896563 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.925598 	 ACCURACY_OVERALL = 0.864634
NEURONS = 27 		 ACCURACY_1 = 0.872668 	 ACCURACY_2 = 0.745873 	 ACCURACY_3 = 0.916148 	 ACCURACY_OVERALL = 0.857571
NEURONS = 28 		 ACCURACY_1 = 0.905074 	 ACCURACY_2 = 0.715931 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.863821
NEURONS = 29 		 ACCURACY_1 = 0.881669 	 ACCURACY_2 = 0.741843 	 ACCURACY_3 = 0.916388 	 ACCURACY_OVERALL = 0.859400
NEURONS = 30 		 ACCURACY_1 = 0.898527 	 ACCURACY_2 = 0.700576 	 ACCURACY_3 = 0.927033 	 ACCURACY_OVERALL = 0.858232
NEURONS = 31 		 ACCURACY_1 = 0.916530 	 ACCURACY_2 = 0.683301 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.854675
NEURONS = 32 		 ACCURACY_1 = 0.896890 	 ACCURACY_2 = 0.694818 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.853659
NEURONS = 33 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.685221 	 ACCURACY_3 = 0.912679 	 ACCURACY_OVERALL = 0.849593
NEURONS = 34 		 ACCURACY_1 = 0.905074 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.924641 	 ACCURACY_OVERALL = 0.860772
NEURONS = 35 		 ACCURACY_1 = 0.901800 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.923445 	 ACCURACY_OVERALL = 0.857215
NEURONS = 36 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.752399 	 ACCURACY_3 = 0.929426 	 ACCURACY_OVERALL = 0.869919
NEURONS = 37 		 ACCURACY_1 = 0.900818 	 ACCURACY_2 = 0.692131 	 ACCURACY_3 = 0.914713 	 ACCURACY_OVERALL = 0.851474
NEURONS = 38 		 ACCURACY_1 = 0.911620 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.919856 	 ACCURACY_OVERALL = 0.864837
NEURONS = 39 		 ACCURACY_1 = 0.883306 	 ACCURACY_2 = 0.721881 	 ACCURACY_3 = 0.918301 	 ACCURACY_OVERALL = 0.855437
NEURONS = 40 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.756238 	 ACCURACY_3 = 0.916268 	 ACCURACY_OVERALL = 0.861789
NEURONS = 41 		 ACCURACY_1 = 0.898527 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.854167
NEURONS = 42 		 ACCURACY_1 = 0.913257 	 ACCURACY_2 = 0.690979 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.857724
NEURONS = 43 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.922249 	 ACCURACY_OVERALL = 0.859248
NEURONS = 44 		 ACCURACY_1 = 0.901800 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.930622 	 ACCURACY_OVERALL = 0.866362
NEURONS = 45 		 ACCURACY_1 = 0.923077 	 ACCURACY_2 = 0.690979 	 ACCURACY_3 = 0.927033 	 ACCURACY_OVERALL = 0.863313
NEURONS = 46 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.918660 	 ACCURACY_OVERALL = 0.851118
NEURONS = 47 		 ACCURACY_1 = 0.896890 	 ACCURACY_2 = 0.754319 	 ACCURACY_3 = 0.927033 	 ACCURACY_OVERALL = 0.871951
NEURONS = 48 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.737044 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.863313
NEURONS = 49 		 ACCURACY_1 = 0.895254 	 ACCURACY_2 = 0.742802 	 ACCURACY_3 = 0.931818 	 ACCURACY_OVERALL = 0.870427
NEURONS = 50 		 ACCURACY_1 = 0.893617 	 ACCURACY_2 = 0.702495 	 ACCURACY_3 = 0.924641 	 ACCURACY_OVERALL = 0.856199
NEURONS = 51 		 ACCURACY_1 = 0.916530 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.910287 	 ACCURACY_OVERALL = 0.860264
NEURONS = 52 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.712092 	 ACCURACY_3 = 0.915072 	 ACCURACY_OVERALL = 0.857724
NEURONS = 53 		 ACCURACY_1 = 0.903601 	 ACCURACY_2 = 0.712284 	 ACCURACY_3 = 0.914474 	 ACCURACY_OVERALL = 0.857571
NEURONS = 54 		 ACCURACY_1 = 0.900164 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.911483 	 ACCURACY_OVERALL = 0.851626
NEURONS = 55 		 ACCURACY_1 = 0.900164 	 ACCURACY_2 = 0.704415 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.862297
NEURONS = 56 		 ACCURACY_1 = 0.905074 	 ACCURACY_2 = 0.719770 	 ACCURACY_3 = 0.915072 	 ACCURACY_OVERALL = 0.860264
NEURONS = 57 		 ACCURACY_1 = 0.906710 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.923445 	 ACCURACY_OVERALL = 0.858740
NEURONS = 58 		 ACCURACY_1 = 0.872340 	 ACCURACY_2 = 0.750480 	 ACCURACY_3 = 0.927033 	 ACCURACY_OVERALL = 0.863313
NEURONS = 59 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.731286 	 ACCURACY_3 = 0.922249 	 ACCURACY_OVERALL = 0.865854
NEURONS = 60 		 ACCURACY_1 = 0.914894 	 ACCURACY_2 = 0.677543 	 ACCURACY_3 = 0.905502 	 ACCURACY_OVERALL = 0.848069
NEURONS = 61 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.744722 	 ACCURACY_3 = 0.919856 	 ACCURACY_OVERALL = 0.861280
NEURONS = 62 		 ACCURACY_1 = 0.877741 	 ACCURACY_2 = 0.713436 	 ACCURACY_3 = 0.927990 	 ACCURACY_OVERALL = 0.855589
NEURONS = 63 		 ACCURACY_1 = 0.878887 	 ACCURACY_2 = 0.706334 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.851118
NEURONS = 64 		 ACCURACY_1 = 0.900164 	 ACCURACY_2 = 0.750480 	 ACCURACY_3 = 0.929426 	 ACCURACY_OVERALL = 0.872967
NEURONS = 65 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.729367 	 ACCURACY_3 = 0.919856 	 ACCURACY_OVERALL = 0.859756
NEURONS = 66 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.681382 	 ACCURACY_3 = 0.922249 	 ACCURACY_OVERALL = 0.849085
NEURONS = 67 		 ACCURACY_1 = 0.905074 	 ACCURACY_2 = 0.710173 	 ACCURACY_3 = 0.894737 	 ACCURACY_OVERALL = 0.849085
NEURONS = 68 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.715931 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.857215
NEURONS = 69 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.735125 	 ACCURACY_3 = 0.940191 	 ACCURACY_OVERALL = 0.869919
NEURONS = 70 		 ACCURACY_1 = 0.878396 	 ACCURACY_2 = 0.737812 	 ACCURACY_3 = 0.925718 	 ACCURACY_OVERALL = 0.861280
NEURONS = 71 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.727447 	 ACCURACY_3 = 0.909091 	 ACCURACY_OVERALL = 0.859248
NEURONS = 72 		 ACCURACY_1 = 0.923077 	 ACCURACY_2 = 0.708253 	 ACCURACY_3 = 0.904306 	 ACCURACY_OVERALL = 0.858232
NEURONS = 73 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.738964 	 ACCURACY_3 = 0.901914 	 ACCURACY_OVERALL = 0.854675
NEURONS = 74 		 ACCURACY_1 = 0.870867 	 ACCURACY_2 = 0.726679 	 ACCURACY_3 = 0.931459 	 ACCURACY_OVERALL = 0.858435
NEURONS = 75 		 ACCURACY_1 = 0.919804 	 ACCURACY_2 = 0.669866 	 ACCURACY_3 = 0.925837 	 ACCURACY_OVERALL = 0.856199
NEURONS = 76 		 ACCURACY_1 = 0.927496 	 ACCURACY_2 = 0.713244 	 ACCURACY_3 = 0.908612 	 ACCURACY_OVERALL = 0.862754
NEURONS = 77 		 ACCURACY_1 = 0.883797 	 ACCURACY_2 = 0.723608 	 ACCURACY_3 = 0.915072 	 ACCURACY_OVERALL = 0.854675
NEURONS = 78 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.893541 	 ACCURACY_OVERALL = 0.849085
NEURONS = 79 		 ACCURACY_1 = 0.877250 	 ACCURACY_2 = 0.733205 	 ACCURACY_3 = 0.921053 	 ACCURACY_OVERALL = 0.857724
NEURONS = 80 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.715931 	 ACCURACY_3 = 0.930622 	 ACCURACY_OVERALL = 0.858232
NEURONS = 81 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.723608 	 ACCURACY_3 = 0.915072 	 ACCURACY_OVERALL = 0.856707
NEURONS = 82 		 ACCURACY_1 = 0.905728 	 ACCURACY_2 = 0.726871 	 ACCURACY_3 = 0.913397 	 ACCURACY_OVERALL = 0.861636
NEURONS = 83 		 ACCURACY_1 = 0.880851 	 ACCURACY_2 = 0.728983 	 ACCURACY_3 = 0.905383 	 ACCURACY_OVERALL = 0.851067
NEURONS = 84 		 ACCURACY_1 = 0.898527 	 ACCURACY_2 = 0.698656 	 ACCURACY_3 = 0.919856 	 ACCURACY_OVERALL = 0.854675
NEURONS = 85 		 ACCURACY_1 = 0.871195 	 ACCURACY_2 = 0.702303 	 ACCURACY_3 = 0.903110 	 ACCURACY_OVERALL = 0.840041
NEURONS = 86 		 ACCURACY_1 = 0.894599 	 ACCURACY_2 = 0.728599 	 ACCURACY_3 = 0.930861 	 ACCURACY_OVERALL = 0.866057
NEURONS = 87 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.922249 	 ACCURACY_OVERALL = 0.856707
NEURONS = 88 		 ACCURACY_1 = 0.878887 	 ACCURACY_2 = 0.740883 	 ACCURACY_3 = 0.928708 	 ACCURACY_OVERALL = 0.863516
NEURONS = 89 		 ACCURACY_1 = 0.893944 	 ACCURACY_2 = 0.634165 	 ACCURACY_3 = 0.924043 	 ACCURACY_OVERALL = 0.837957
NEURONS = 90 		 ACCURACY_1 = 0.882160 	 ACCURACY_2 = 0.737428 	 ACCURACY_3 = 0.926196 	 ACCURACY_OVERALL = 0.862551
