NN CREATED N.5
NEURONS = 39 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.853846
NEURONS = 40 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.853846
NEURONS = 41 		 ACCURACY_1 = 0.924731 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.850467 	 ACCURACY_OVERALL = 0.846154
NEURONS = 42 		 ACCURACY_1 = 0.935484 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.834615
NEURONS = 43 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.859813 	 ACCURACY_OVERALL = 0.846154
NEURONS = 44 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.850467 	 ACCURACY_OVERALL = 0.838462
NEURONS = 45 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.850467 	 ACCURACY_OVERALL = 0.842308
NEURONS = 46 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.841121 	 ACCURACY_OVERALL = 0.838462
NEURONS = 47 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.857692
NEURONS = 48 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.600000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.830769
NEURONS = 49 		 ACCURACY_1 = 0.881720 	 ACCURACY_2 = 0.633333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.830769
NEURONS = 50 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.616667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.823077
NEURONS = 51 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.650000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.842308
NEURONS = 52 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.850000
NEURONS = 53 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 54 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.857692
NEURONS = 55 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.878505 	 ACCURACY_OVERALL = 0.846154
