NN CREATED N.2
NEURONS1 = 2 		 NEURONS1 = 6 		 ACCURACY_1 = 0.903437 	 ACCURACY_2 = 0.662188 	 ACCURACY_3 = 0.894737 	 ACCURACY_OVERALL = 0.835874
NEURONS1 = 3 		 NEURONS1 = 18 		 ACCURACY_1 = 0.879869 	 ACCURACY_2 = 0.666987 	 ACCURACY_3 = 0.897847 	 ACCURACY_OVERALL = 0.831148
NEURONS1 = 4 		 NEURONS1 = 19 		 ACCURACY_1 = 0.906710 	 ACCURACY_2 = 0.612284 	 ACCURACY_3 = 0.898325 	 ACCURACY_OVERALL = 0.825203
NEURONS1 = 5 		 NEURONS1 = 16 		 ACCURACY_1 = 0.885434 	 ACCURACY_2 = 0.687140 	 ACCURACY_3 = 0.892344 	 ACCURACY_OVERALL = 0.835874
NEURONS1 = 6 		 NEURONS1 = 3 		 ACCURACY_1 = 0.931260 	 ACCURACY_2 = 0.681382 	 ACCURACY_3 = 0.922249 	 ACCURACY_OVERALL = 0.861280
NEURONS1 = 7 		 NEURONS1 = 2 		 ACCURACY_1 = 0.919804 	 ACCURACY_2 = 0.679463 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.861789
NEURONS1 = 8 		 NEURONS1 = 4 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.721689 	 ACCURACY_3 = 0.944976 	 ACCURACY_OVERALL = 0.865854
NEURONS1 = 9 		 NEURONS1 = 10 		 ACCURACY_1 = 0.896563 	 ACCURACY_2 = 0.696161 	 ACCURACY_3 = 0.935048 	 ACCURACY_OVERALL = 0.859858
NEURONS1 = 10 		 NEURONS1 = 2 		 ACCURACY_1 = 0.918985 	 ACCURACY_2 = 0.667562 	 ACCURACY_3 = 0.933493 	 ACCURACY_OVERALL = 0.858587
NEURONS1 = 11 		 NEURONS1 = 4 		 ACCURACY_1 = 0.909002 	 ACCURACY_2 = 0.702879 	 ACCURACY_3 = 0.926555 	 ACCURACY_OVERALL = 0.861890
NEURONS1 = 12 		 NEURONS1 = 6 		 ACCURACY_1 = 0.910802 	 ACCURACY_2 = 0.632054 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.846443
NEURONS1 = 13 		 NEURONS1 = 18 		 ACCURACY_1 = 0.911620 	 ACCURACY_2 = 0.618042 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.842988
NEURONS1 = 14 		 NEURONS1 = 2 		 ACCURACY_1 = 0.923241 	 ACCURACY_2 = 0.664491 	 ACCURACY_3 = 0.935526 	 ACCURACY_OVERALL = 0.859959
NEURONS1 = 15 		 NEURONS1 = 9 		 ACCURACY_1 = 0.888707 	 ACCURACY_2 = 0.710173 	 ACCURACY_3 = 0.933014 	 ACCURACY_OVERALL = 0.860264
NEURONS1 = 16 		 NEURONS1 = 2 		 ACCURACY_1 = 0.894108 	 ACCURACY_2 = 0.707869 	 ACCURACY_3 = 0.953828 	 ACCURACY_OVERALL = 0.870173
