NN CREATED N.7
NEURONS = 2 		 ACCURACY_1 = 0.096774 	 ACCURACY_2 = 0.850000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.230769
NEURONS = 3 		 ACCURACY_1 = 0.247312 	 ACCURACY_2 = 0.650000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.238462
NEURONS = 4 		 ACCURACY_1 = 0.010753 	 ACCURACY_2 = 0.933333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.219231
NEURONS = 5 		 ACCURACY_1 = 0.021505 	 ACCURACY_2 = 0.883333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.211538
NEURONS = 6 		 ACCURACY_1 = 0.430108 	 ACCURACY_2 = 0.000000 	 ACCURACY_3 = 0.672897 	 ACCURACY_OVERALL = 0.430769
NEURONS = 7 		 ACCURACY_1 = 0.548387 	 ACCURACY_2 = 0.000000 	 ACCURACY_3 = 0.532710 	 ACCURACY_OVERALL = 0.415385
NEURONS = 8 		 ACCURACY_1 = 0.408602 	 ACCURACY_2 = 0.483333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.257692
NEURONS = 9 		 ACCURACY_1 = 0.139785 	 ACCURACY_2 = 0.783333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.230769
NEURONS = 10 		 ACCURACY_1 = 0.215054 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.242308
NEURONS = 11 		 ACCURACY_1 = 0.215054 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.238462
NEURONS = 12 		 ACCURACY_1 = 0.172043 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.234615
NEURONS = 13 		 ACCURACY_1 = 0.107527 	 ACCURACY_2 = 0.800000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.223077
NEURONS = 14 		 ACCURACY_1 = 0.129032 	 ACCURACY_2 = 0.800000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.230769
NEURONS = 15 		 ACCURACY_1 = 0.118280 	 ACCURACY_2 = 0.866667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.242308
NEURONS = 16 		 ACCURACY_1 = 0.505376 	 ACCURACY_2 = 0.566667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.311538
NEURONS = 17 		 ACCURACY_1 = 0.182796 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.230769
NEURONS = 18 		 ACCURACY_1 = 0.215054 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.234615
NEURONS = 19 		 ACCURACY_1 = 0.053763 	 ACCURACY_2 = 0.850000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.215385
NEURONS = 20 		 ACCURACY_1 = 0.096774 	 ACCURACY_2 = 0.850000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.230769
NEURONS = 21 		 ACCURACY_1 = 0.204301 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.102804 	 ACCURACY_OVERALL = 0.276923
NEURONS = 22 		 ACCURACY_1 = 0.591398 	 ACCURACY_2 = 0.000000 	 ACCURACY_3 = 0.682243 	 ACCURACY_OVERALL = 0.492308
NEURONS = 23 		 ACCURACY_1 = 0.258065 	 ACCURACY_2 = 0.650000 	 ACCURACY_3 = 0.028037 	 ACCURACY_OVERALL = 0.253846
NEURONS = 24 		 ACCURACY_1 = 0.354839 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.046729 	 ACCURACY_OVERALL = 0.303846
NEURONS = 25 		 ACCURACY_1 = 0.322581 	 ACCURACY_2 = 0.583333 	 ACCURACY_3 = 0.065421 	 ACCURACY_OVERALL = 0.276923
NEURONS = 26 		 ACCURACY_1 = 0.365591 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.084112 	 ACCURACY_OVERALL = 0.288462
NEURONS = 27 		 ACCURACY_1 = 0.333333 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.284615
NEURONS = 28 		 ACCURACY_1 = 0.311828 	 ACCURACY_2 = 0.583333 	 ACCURACY_3 = 0.065421 	 ACCURACY_OVERALL = 0.273077
NEURONS = 29 		 ACCURACY_1 = 0.440860 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.102804 	 ACCURACY_OVERALL = 0.323077
NEURONS = 30 		 ACCURACY_1 = 0.247312 	 ACCURACY_2 = 0.633333 	 ACCURACY_3 = 0.102804 	 ACCURACY_OVERALL = 0.276923
NEURONS = 31 		 ACCURACY_1 = 0.440860 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.084112 	 ACCURACY_OVERALL = 0.315385
NEURONS = 32 		 ACCURACY_1 = 0.387097 	 ACCURACY_2 = 0.533333 	 ACCURACY_3 = 0.065421 	 ACCURACY_OVERALL = 0.288462
NEURONS = 33 		 ACCURACY_1 = 0.290323 	 ACCURACY_2 = 0.616667 	 ACCURACY_3 = 0.046729 	 ACCURACY_OVERALL = 0.265385
NEURONS = 34 		 ACCURACY_1 = 0.247312 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.046729 	 ACCURACY_OVERALL = 0.269231
NEURONS = 35 		 ACCURACY_1 = 0.419355 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.112150 	 ACCURACY_OVERALL = 0.311538
NEURONS = 36 		 ACCURACY_1 = 0.258065 	 ACCURACY_2 = 0.633333 	 ACCURACY_3 = 0.074766 	 ACCURACY_OVERALL = 0.269231
NEURONS = 37 		 ACCURACY_1 = 0.204301 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.056075 	 ACCURACY_OVERALL = 0.269231
NEURONS = 38 		 ACCURACY_1 = 0.268817 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.065421 	 ACCURACY_OVERALL = 0.280769
