NN CREATED N.6
NEURONS = 2 		 ACCURACY_1 = 0.752688 	 ACCURACY_2 = 0.150000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.303846
NEURONS = 3 		 ACCURACY_1 = 0.462366 	 ACCURACY_2 = 0.633333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.311538
NEURONS = 4 		 ACCURACY_1 = 0.075269 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.203846
NEURONS = 5 		 ACCURACY_1 = 0.064516 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.200000
NEURONS = 6 		 ACCURACY_1 = 0.096774 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.200000
NEURONS = 7 		 ACCURACY_1 = 0.602151 	 ACCURACY_2 = 0.466667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.323077
NEURONS = 8 		 ACCURACY_1 = 0.494624 	 ACCURACY_2 = 0.566667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.307692
NEURONS = 9 		 ACCURACY_1 = 0.698925 	 ACCURACY_2 = 0.216667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.300000
NEURONS = 10 		 ACCURACY_1 = 0.602151 	 ACCURACY_2 = 0.400000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.307692
NEURONS = 11 		 ACCURACY_1 = 0.537634 	 ACCURACY_2 = 0.366667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.276923
NEURONS = 12 		 ACCURACY_1 = 0.516129 	 ACCURACY_2 = 0.516667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.303846
NEURONS = 13 		 ACCURACY_1 = 0.548387 	 ACCURACY_2 = 0.416667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.292308
NEURONS = 14 		 ACCURACY_1 = 0.591398 	 ACCURACY_2 = 0.500000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.326923
NEURONS = 15 		 ACCURACY_1 = 0.408602 	 ACCURACY_2 = 0.633333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.292308
NEURONS = 16 		 ACCURACY_1 = 0.731183 	 ACCURACY_2 = 0.383333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.350000
NEURONS = 17 		 ACCURACY_1 = 0.483871 	 ACCURACY_2 = 0.416667 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.269231
NEURONS = 18 		 ACCURACY_1 = 0.698925 	 ACCURACY_2 = 0.350000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.330769
NEURONS = 19 		 ACCURACY_1 = 0.688172 	 ACCURACY_2 = 0.350000 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.326923
NEURONS = 20 		 ACCURACY_1 = 0.376344 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.000000 	 ACCURACY_OVERALL = 0.292308
