NN CREATED N.3
NEURONS = 2 		 ACCURACY_1 = 0.905892 	 ACCURACY_2 = 0.635893 	 ACCURACY_3 = 0.904187 	 ACCURACY_OVERALL = 0.833689
NEURONS = 3 		 ACCURACY_1 = 0.965630 	 ACCURACY_2 = 0.155470 	 ACCURACY_3 = 0.959330 	 ACCURACY_OVERALL = 0.748476
NEURONS = 4 		 ACCURACY_1 = 0.891980 	 ACCURACY_2 = 0.675624 	 ACCURACY_3 = 0.909091 	 ACCURACY_OVERALL = 0.841972
NEURONS = 5 		 ACCURACY_1 = 0.887070 	 ACCURACY_2 = 0.689060 	 ACCURACY_3 = 0.901914 	 ACCURACY_OVERALL = 0.840955
NEURONS = 6 		 ACCURACY_1 = 0.887070 	 ACCURACY_2 = 0.692898 	 ACCURACY_3 = 0.901914 	 ACCURACY_OVERALL = 0.841972
NEURONS = 7 		 ACCURACY_1 = 0.879051 	 ACCURACY_2 = 0.686180 	 ACCURACY_3 = 0.907536 	 ACCURACY_OVERALL = 0.840091
NEURONS = 8 		 ACCURACY_1 = 0.883633 	 ACCURACY_2 = 0.675432 	 ACCURACY_3 = 0.898684 	 ACCURACY_OVERALL = 0.834909
NEURONS = 9 		 ACCURACY_1 = 0.875941 	 ACCURACY_2 = 0.715163 	 ACCURACY_3 = 0.905622 	 ACCURACY_OVERALL = 0.845986
NEURONS = 10 		 ACCURACY_1 = 0.874141 	 ACCURACY_2 = 0.702495 	 ACCURACY_3 = 0.904306 	 ACCURACY_OVERALL = 0.841514
NEURONS = 11 		 ACCURACY_1 = 0.881833 	 ACCURACY_2 = 0.709213 	 ACCURACY_3 = 0.914354 	 ACCURACY_OVERALL = 0.849949
NEURONS = 12 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.700576 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.850102
NEURONS = 13 		 ACCURACY_1 = 0.909984 	 ACCURACY_2 = 0.683301 	 ACCURACY_3 = 0.904306 	 ACCURACY_OVERALL = 0.847561
NEURONS = 14 		 ACCURACY_1 = 0.890344 	 ACCURACY_2 = 0.696737 	 ACCURACY_3 = 0.907895 	 ACCURACY_OVERALL = 0.846545
NEURONS = 15 		 ACCURACY_1 = 0.887070 	 ACCURACY_2 = 0.727447 	 ACCURACY_3 = 0.918660 	 ACCURACY_OVERALL = 0.858232
NEURONS = 16 		 ACCURACY_1 = 0.898527 	 ACCURACY_2 = 0.725528 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.859248
NEURONS = 17 		 ACCURACY_1 = 0.882488 	 ACCURACY_2 = 0.707869 	 ACCURACY_3 = 0.909809 	 ACCURACY_OVERALL = 0.847866
NEURONS = 18 		 ACCURACY_1 = 0.880524 	 ACCURACY_2 = 0.702495 	 ACCURACY_3 = 0.913876 	 ACCURACY_OVERALL = 0.847561
NEURONS = 19 		 ACCURACY_1 = 0.904255 	 ACCURACY_2 = 0.700576 	 ACCURACY_3 = 0.910407 	 ACCURACY_OVERALL = 0.852947
NEURONS = 20 		 ACCURACY_1 = 0.893617 	 ACCURACY_2 = 0.714012 	 ACCURACY_3 = 0.905502 	 ACCURACY_OVERALL = 0.851118
